location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#gender+code,#age+range,#age+min,#age+max,#population,#date+start,#date+end
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,65-69,65,69,330462,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,70-74,70,74,222166,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,75-79,75,79,141274,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,80+,80,None,111607,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,0-4,0,4,7305873,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,5-9,5,9,6353958,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,10-14,10,14,5657079,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,15-19,15,19,5085395,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,20-24,20,24,4147082,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,25-29,25,29,3756526,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,30-34,30,34,3213407,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,35-39,35,39,2554111,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,40-44,40,44,2168965,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,45-49,45,49,1901602,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,50-54,50,54,1595148,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,55-59,55,59,1245207,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,60-64,60,64,947099,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,65-69,65,69,643347,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,70-74,70,74,427951,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,75-79,75,79,268545,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,80+,80,None,210645,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,10-14,10,14,645035,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,all,None,None,2659477,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,all,None,None,2465272,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,all,None,None,5124749,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,0-4,0,4,376001,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,5-9,5,9,349472,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,10-14,10,14,318507,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,15-19,15,19,299998,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,20-24,20,24,250020,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,25-29,25,29,199481,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,30-34,30,34,167615,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,35-39,35,39,139862,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,40-44,40,44,126721,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,45-49,45,49,112554,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,50-54,50,54,95461,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,55-59,55,59,75561,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,60-64,60,64,56368,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,65-69,65,69,38757,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,70-74,70,74,25854,2024-01-01,2024-12-31
